id,nombre_predio,comuna,latitud,longitud,nivel_importancia,hectareas
2007,HIJUELA EL POTRERILLO,LOS ANGELES,-37.402153,-72.540135,BAJO,42.4
2008,S.JOAQUIN Y L.QUINIENTAS,SANTA BARBARA,-37.730128,-71.759756,BAJO,92.91
2009,STA TERESITA,MULCHEN,-37.804828,-72.339951,MEDIO,203.04
2010,LA ENVIDIA LOTES A-B-C,LOS ANGELES,-37.397829,-72.453034,BAJO,320.27
2011,PARCELAS CAMPO BUENO,MULCHEN,-37.746481,-72.391705,MEDIO,596.22
2012,LOS SAUCES,QUILLECO,-37.386623,-71.806983,BAJO,8.35
2013,MOTILLAR,NACIMIENTO,-37.351985,-72.820211,MEDIO,52.98
2014,PARCELA 2 PRIMER PASO LOTE A,QUILLECO,-37.455252,-71.925161,BAJO,15.57
2015,HIJUELA EL DURAZNO Y OTRO,QUILLECO,-37.438837,-71.798299,BAJO,33.47
2016,EL RESPETAO,SANTA BARBARA,-37.565547,-71.795991,BAJO,164.07
2017,PARC 27 EL SAUCE,LOS ANGELES,-37.397194,-72.559067,BAJO,43.31
2018,PARC 6 SAN PEDRO LOTE 1,MULCHEN,-37.759676,-71.991855,BAJO,17.48
2019,SANTA PATRICIA,MULCHEN,-37.778894,-72.167356,MEDIO,186.75
2020,SANTA CLOTILDE,QUILLECO,-37.433341,-71.911248,BAJO,26.78
2021,EL BOLDO,NACIMIENTO,-37.369868,-72.721937,MEDIO,8.12
2022,EL MAITEN LOTE 3A,QUILLECO,-37.440816,-71.911092,BAJO,6.62
2023,HIJUELA SAN JOSE,SANTA BARBARA,-37.578756,-72.064586,BAJO,35.08
2024,HIJUELA 1 EL AROMO,QUILLECO,-37.389738,-71.824483,BAJO,22.24
2025,HIJUELAS SAN LUIS,QUILACO,-37.763925,-71.838927,BAJO,35.59
2026,CHOROICO LOTE A,NACIMIENTO,-37.544213,-72.859762,BAJO,83.83
2027,EL DESIERTO LOTE 2,LOS ANGELES,-37.263807,-72.148692,BAJO,82.05
2028,LAS QUILAS Y OTROS,LAJA,-37.32098,-72.516428,BAJO,535.58
2029,LOS LIRIOS LOTE-A,QUILLECO,-37.517428,-71.93017,BAJO,39.72
2030,HIJUELA EL PINO LOS MAYOS,SANTA BARBARA,-37.661977,-71.999602,BAJO,24.97
